,id,0,1,2,3,4,5,6,7
0,ՀԿ_41,Տվյալներ չկան,,,,,,,
1,ՀԿ_40,Տվյալներ չկան,,,,,,,
2,ՀԿ_39,Տվյալներ չկան,,,,,,,
3,ՀԿ_38,Տվյալներ չկան,,,,,,,
4,ՀԿ_37,Տվյալներ չկան,,,,,,,
5,ՀԿ_36,Տվյալներ չկան,,,,,,,
6,ՀԿ_35,Տվյալներ չկան,,,,,,,
7,ՀԿ_34,Տվյալներ չկան,,,,,,,
8,ՀԿ_32,Տվյալներ չկան,,,,,,,
9,ՀԿ_31,Տվյալներ չկան,,,,,,,
10,ՀԿ_30,Տվյալներ չկան,,,,,,,
11,ՀԿ_29,Տվյալներ չկան,,,,,,,
12,ՀԿ_28,Տվյալներ չկան,,,,,,,
13,ՀԿ_27,Տվյալներ չկան,,,,,,,
14,ՀԿ_26,Տվյալներ չկան,,,,,,,
15,ՀԿ_25,Տվյալներ չկան,,,,,,,
16,ՀԿ_24,Տվյալներ չկան,,,,,,,
17,ՀԿ_23,Պաշտպանված,,,,,,,
18,ՀԿ_23,Պաշտպանված,,,,,,,
19,ՀԿ_22,Պաշտպանված,,,,,,,
20,ՀԿ_22,Պաշտպանված,,,,,,,
21,ՀԿ_21,Տվյալներ չկան,,,,,,,
22,ՀԿ_20,Տվյալներ չկան,,,,,,,
23,ՀԿ_19,Տվյալներ չկան,,,,,,,
24,ՀԿ_18,Տվյալներ չկան,,,,,,,
25,ՀԿ_17,Տվյալներ չկան,,,,,,,
26,ՀԿ_16,Տվյալներ չկան,,,,,,,
27,ՀԿ_15,Տվյալներ չկան,,,,,,,
28,ՀԿ_12,Պաշտպանված,,,,,,,
29,ՀԿ_12,Պաշտպանված,,,,,,,
30,ՀԿ_11,Պաշտպանված,,,,,,,
31,ՀԿ_11,Պաշտպանված,,,,,,,
32,ՀԿ_09,Տվյալներ չկան,,,,,,,
33,ՀԿ_07,Տվյալներ չկան,,,,,,,
34,ՀԿ_06,Տվյալներ չկան,,,,,,,
35,ՀԿ_05,Տվյալներ չկան,,,,,,,
36,ՀԿ_04,Տվյալներ չկան,,,,,,,
37,ՀԿ_03,Տվյալներ չկան,,,,,,,
38,ՀԿ_02,Պաշտպանված,,,,,,,
39,ՀԿ_02,Պաշտպանված,,,,,,,
40,ՀԴԴ_13,Տվյալներ չկան,,,,,,,
41,ՀԴԴ_12,Տվյալներ չկան,,,,,,,
42,ՀԴԴ_11,Տվյալներ չկան,,,,,,,
43,ՀԴԴ_10,Պաշտպանված,,,,,,,
44,ՀԴԴ_10,Պաշտպանված,,,,,,,
45,ՀԴԴ_09,Տվյալներ չկան,,,,,,,
46,ՀԴԴ_06,Պաշտպանված,,,,,,,
47,ՀԴԴ_06,Պաշտպանված,,,,,,,
48,ՀԴԴ_05,Տվյալներ չկան,,,,,,,
49,ՀԴԴ_03,Տվյալներ չկան,,,,,,,
50,ՀԴԴ_01,,ԿԱՐԱՊԵՏ ԲԱԴԱԼՅԱՆ ՍԵՐՅՈԺԱՅԻ,Պրուդենս ՓԲԸ,Պաշտպանված,Պաշտպանված,30,Պաշտպանված,2013-05-07
51,ԿԿՀ_08,Պաշտպանված,,,,,,,
52,ԿԿՀ_08,Պաշտպանված,,,,,,,
53,ԿԿՀ_07,Պաշտպանված,,,,,,,
54,ԿԿՀ_07,Պաշտպանված,,,,,,,
55,ԿԿՀ_04,Տվյալներ չկան,,,,,,,
56,ԿԿՀ_03,,ՆԵԼԼԻ ԱՍԱՏՐՅԱՆ ՎԼԱԴԻՄԻՐԻ,ՀՈՄՖՈՒԴ ՍՊԸ,Պաշտպանված,Պաշտպանված,100,Պաշտպանված,2018-04-10
57,ԿԿՀ_02,Տվյալներ չկան,,,,,,,
58,ԿԿՀ_01,Տվյալներ չկան,,,,,,,
59,ԱԾՈՒԳ_08,,ԱՐՏԱՇԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,«ԱՐՏԳՐԻԳ» ՍՊԸ,Պաշտպանված,Պաշտպանված,100,Պաշտպանված,2017-09-12
60,ԱԾՈՒԳ_07,Տվյալներ չկան,,,,,,,
61,ԱԾՈՒԳ_06,Տվյալներ չկան,,,,,,,
62,ԱԾՈՒԳ_04,Տվյալներ չկան,,,,,,,
63,ԱԾՈՒԳ_03,Տվյալներ չկան,,,,,,,
64,ԱԾՈՒԳ_02,Տվյալներ չկան,,,,,,,
65,ԱԾՈՒԳ_01,Տվյալներ չկան,,,,,,,
