,id,0,1,2,3,4,5,6,7
0,ՀԿ_33,Տվյալներ չկան,,,,,,,
1,ՀԿ_30,Տվյալներ չկան,,,,,,,
2,ՀԿ_14,Տվյալներ չկան,,,,,,,
3,ՀԿ_13,Տվյալներ չկան,,,,,,,
4,ՀԿ_10,Տվյալներ չկան,,,,,,,
5,ՀԿ_08,Տվյալներ չկան,,,,,,,
6,ՀԿ_01,Տվյալներ չկան,,,,,,,
7,ՀԴԴ_10,,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,Պաշտպանված,Պաշտպանված,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,HYUNDAI Պաշտպանված,2010,Պաշտպանված
8,ՀԴԴ_10,,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,Պաշտպանված,Պաշտպանված,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,HYUNDAI Պաշտպանված,2010,Պաշտպանված
9,ՀԴԴ_08,Տվյալներ չկան,,,,,,,
10,ՀԴԴ_07,Տվյալներ չկան,,,,,,,
11,ՀԴԴ_04,,ԳԻՎԻ ՀՈՎՀԱՆՆԻՍՅԱՆ ՀԱՄԼԵՏԻ,Պաշտպանված,Պաշտպանված,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2003,Պաշտպանված
12,ՀԴԴ_03,,ՍԱՐԳԻՍ ԴԱԴՈՅԱՆ ՍԻՄՈՆԻ,Պաշտպանված,Պաշտպանված,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2014,Պաշտպանված
13,ՀԴԴ_02,Տվյալներ չկան,,,,,,,
14,ԿԿՀ_09,Տվյալներ չկան,,,,,,,
15,ԿԿՀ_06,Տվյալներ չկան,,,,,,,
16,ԿԿՀ_05,Տվյալներ չկան,,,,,,,
17,ԱԾՈՒԳ_10,Տվյալներ չկան,,,,,,,
18,ԱԾՈՒԳ_09,Տվյալներ չկան,,,,,,,
19,ԱԾՈՒԳ_05,Տվյալներ չկան,,,,,,,
